loss_train,loss_valid,acc,recall,f_score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
tensor(0.0290),tensor(0.4382),0.8462629914283752,0.9094244837760925,0.8457473598307506,76.95039582252502,False,,,1,963055fdd09b47e08910a2b532fa2169,2021-10-31_21-08-28,1635685708,76.95039582252502,19150,user-System-Product-Name,192.168.0.11,76.95039582252502,0,1,745c8_00000
tensor(0.0289),tensor(0.4369),0.8432670831680298,0.91571444272995,0.8428700971555733,79.19108533859253,False,,,2,963055fdd09b47e08910a2b532fa2169,2021-10-31_21-09-47,1635685787,156.14148116111755,19150,user-System-Product-Name,192.168.0.11,156.14148116111755,0,2,745c8_00000
tensor(0.0290),tensor(0.4377),0.8171449303627014,0.949260950088501,0.8197834199812711,78.5528450012207,False,,,3,963055fdd09b47e08910a2b532fa2169,2021-10-31_21-11-06,1635685866,234.69432616233826,19150,user-System-Product-Name,192.168.0.11,234.69432616233826,0,3,745c8_00000
tensor(0.0327),tensor(0.4873),0.8084200620651245,0.8334206938743591,0.8096382478124692,79.53731918334961,False,,,4,963055fdd09b47e08910a2b532fa2169,2021-10-31_21-12-25,1635685945,314.23164534568787,19150,user-System-Product-Name,192.168.0.11,314.23164534568787,0,4,745c8_00000
tensor(0.0282),tensor(0.4258),0.8578261137008667,0.9247300624847412,0.8563745046760746,79.27174258232117,False,,,5,963055fdd09b47e08910a2b532fa2169,2021-10-31_21-13-45,1635686025,393.50338792800903,19150,user-System-Product-Name,192.168.0.11,393.50338792800903,0,5,745c8_00000
tensor(0.0299),tensor(0.4490),0.8240828514099121,0.910577654838562,0.8253829269600662,79.46649622917175,False,,,6,963055fdd09b47e08910a2b532fa2169,2021-10-31_21-15-04,1635686104,472.9698841571808,19150,user-System-Product-Name,192.168.0.11,472.9698841571808,0,6,745c8_00000
tensor(0.0282),tensor(0.4252),0.8484705090522766,0.9369955062866211,0.8473965669464,79.14655637741089,False,,,7,963055fdd09b47e08910a2b532fa2169,2021-10-31_21-16-23,1635686183,552.1164405345917,19150,user-System-Product-Name,192.168.0.11,552.1164405345917,0,7,745c8_00000
tensor(0.0281),tensor(0.4246),0.8606117963790894,0.9212705492973328,0.8591259942528162,79.55598330497742,False,,,8,963055fdd09b47e08910a2b532fa2169,2021-10-31_21-17-43,1635686263,631.6724238395691,19150,user-System-Product-Name,192.168.0.11,631.6724238395691,0,8,745c8_00000
tensor(0.0282),tensor(0.4267),0.8468411564826965,0.937309980392456,0.8459005538667803,78.83973336219788,False,,,9,963055fdd09b47e08910a2b532fa2169,2021-10-31_21-19-02,1635686342,710.512157201767,19150,user-System-Product-Name,192.168.0.11,710.512157201767,0,9,745c8_00000
tensor(0.0286),tensor(0.4302),0.8482602834701538,0.9273508787155151,0.8473504447937059,79.43522143363953,False,,,10,963055fdd09b47e08910a2b532fa2169,2021-10-31_21-20-21,1635686421,789.9473786354065,19150,user-System-Product-Name,192.168.0.11,789.9473786354065,0,10,745c8_00000
tensor(0.0309),tensor(0.4615),0.8100494146347046,0.9026103615760803,0.8128316038418323,79.25152635574341,False,,,11,963055fdd09b47e08910a2b532fa2169,2021-10-31_21-21-40,1635686500,869.1989049911499,19150,user-System-Product-Name,192.168.0.11,869.1989049911499,0,11,745c8_00000
tensor(0.0280),tensor(0.4240),0.845527172088623,0.942132294178009,0.8446428275773903,79.24816608428955,False,,,12,963055fdd09b47e08910a2b532fa2169,2021-10-31_21-23-00,1635686580,948.4470710754395,19150,user-System-Product-Name,192.168.0.11,948.4470710754395,0,12,745c8_00000
tensor(0.0282),tensor(0.4251),0.839587926864624,0.9473739266395569,0.8392614684569637,79.55707263946533,False,,,13,963055fdd09b47e08910a2b532fa2169,2021-10-31_21-24-19,1635686659,1028.0041437149048,19150,user-System-Product-Name,192.168.0.11,1028.0041437149048,0,13,745c8_00000
tensor(0.0286),tensor(0.4297),0.8277620077133179,0.9541880488395691,0.8289013410510061,79.02254819869995,False,,,14,963055fdd09b47e08910a2b532fa2169,2021-10-31_21-25-38,1635686738,1107.0266919136047,19150,user-System-Product-Name,192.168.0.11,1107.0266919136047,0,14,745c8_00000
tensor(0.0280),tensor(0.4219),0.8600336313247681,0.9282943606376648,0.858375300893455,79.4274308681488,False,,,15,963055fdd09b47e08910a2b532fa2169,2021-10-31_21-26-58,1635686818,1186.4541227817535,19150,user-System-Product-Name,192.168.0.11,1186.4541227817535,0,15,745c8_00000
